rule_id,rule_code,rule_group,ten_rule,muc_tieu,dieu_kien_1,dieu_kien_2,dieu_kien_3,dieu_kien_4,dieu_kien_5,ket_qua,diem,muc_do,do_tin_cay,uu_tien,giai_thich,trang_thai
20,PT020,HAO_TAI,Nhiều yếu tố hao tài,Hao tài tổng hợp,Kiếp_Tài=Vượng,Đại_Hao=true,Tài=Bị_Xung,,,Hao_Tài=Tối_Đa,-35,Rất_Cao,99,20,Hội tụ nhiều yếu tố bất lợi,active
21,PT021,KIEP_TAI,Kiếp Tài gặp Chính Tài,Mất tiền do cạnh tranh,Kiếp_Tài=Vượng,Chính_Tài=Tồn_Tại,,,,Hao_Tài=Cao,-20,Cao,94,21,Dễ bị tranh giành nguồn thu,active
22,PT022,KIEP_TAI,Kiếp Tài gặp Thiên Tài,Mất tiền đầu tư,Kiếp_Tài=Vượng,Thiên_Tài=Tồn_Tại,,,,Hao_Tài=Cao,-22,Cao,95,22,Dễ mất lợi nhuận đầu tư,active
23,PT023,KIEP_TAI,Kiếp Tài đoạt Dụng thần,Suy giảm tài vận,Kiếp_Tài=Vượng,Dụng_Thần=Tài,,,,Hao_Tài=Rất_Cao,-26,Rất_Cao,97,23,Dụng thần bị phá làm giảm tài vận,active
24,PT024,KIEP_TAI,Kiếp Tài gặp Đại Hao,Hao tài cực mạnh,Kiếp_Tài=Vượng,Đại_Hao=true,,,,Hao_Tài=Rất_Cao,-30,Rất_Cao,99,24,Hội tụ hai yếu tố hao tài mạnh,active
25,PT025,KIEP_TAI,Kiếp Tài gặp Tiểu Hao,Hao hụt kéo dài,Kiếp_Tài=Vượng,Tiểu_Hao=true,,,,Hao_Tài=Cao,-18,Cao,91,25,Nhiều khoản thất thoát liên tục,active
26,PT026,KIEP_TAI,Kiếp Tài gặp Phá Toái,Tổn thất tài sản,Kiếp_Tài=Vượng,Phá_Toái=true,,,,Hao_Tài=Cao,-21,Cao,93,26,Dễ mất tài sản hoặc hỏng hóc,active
27,PT027,KIEP_TAI,Kiếp Tài gặp Không Vong,Tài khó giữ,Kiếp_Tài=Vượng,Tài=Không_Vong,,,,Hao_Tài=Rất_Cao,-24,Rất_Cao,96,27,Tiền đến rồi đi nhanh,active
28,PT028,KIEP_TAI,Kiếp Tài gặp Thân nhược,Gánh nặng tài chính,Kiếp_Tài=Vượng,Thân=Nhược,,,,Hao_Tài=Cao,-22,Cao,94,28,Không đủ nội lực quản lý tài chính,active
29,PT029,KIEP_TAI,Kiếp Tài trong Đại vận,Hao tài theo chu kỳ,Đại_Vận=Kiếp_Tài,,,,,Hao_Tài=Cao,-18,Cao,92,29,Đại vận bất lợi về tài chính,active
30,PT030,KIEP_TAI,Kiếp Tài trong Lưu niên,Mất tiền theo năm,Lưu_Niên=Kiếp_Tài,,,,,Hao_Tài=Khá,-12,Khá,88,30,Năm dễ phát sinh hao hụt,active
31,PT031,TY_KIEN,Tỷ Kiên gặp Chính Tài,Chia sẻ lợi nhuận,Tỷ_Kiên=Vượng,Chính_Tài=Tồn_Tại,,,,Hao_Tài=Cao,-18,Cao,91,31,Cạnh tranh trong công việc,active
32,PT032,TY_KIEN,Tỷ Kiên gặp Thiên Tài,Hùn hạp bất lợi,Tỷ_Kiên=Vượng,Thiên_Tài=Tồn_Tại,,,,Hao_Tài=Cao,-19,Cao,92,32,Dễ chia lợi nhuận khi hợp tác,active
33,PT033,TY_KIEN,Tỷ Kiên gặp Kiếp Tài,Tranh đoạt mạnh,Tỷ_Kiên=Vượng,Kiếp_Tài=Vượng,,,,Hao_Tài=Rất_Cao,-28,Rất_Cao,98,33,Nội bộ cạnh tranh gay gắt,active
34,PT034,TY_KIEN,Tỷ Kiên gặp Đại Hao,Chi phí tăng,Tỷ_Kiên=Vượng,Đại_Hao=true,,,,Hao_Tài=Cao,-21,Cao,93,34,Hao hụt do cạnh tranh và chi tiêu,active
35,PT035,TY_KIEN,Tỷ Kiên gặp Thân nhược,Khó giữ tiền,Tỷ_Kiên=Vượng,Thân=Nhược,,,,Hao_Tài=Cao,-20,Cao,92,35,Dễ bị người khác chi phối tài chính,active
36,PT036,TY_KIEN,Tỷ Kiên trong Đại vận,Hao tài theo vận,Đại_Vận=Tỷ_Kiên,,,,,Hao_Tài=Khá,-14,Khá,89,36,Chu kỳ cạnh tranh mạnh,active
37,PT037,TY_KIEN,Tỷ Kiên trong Lưu niên,Hao tài theo năm,Lưu_Niên=Tỷ_Kiên,,,,,Hao_Tài=Trung_Bình,-10,Trung_Bình,86,37,Dễ phát sinh cạnh tranh trong năm,active
38,PT038,TRANH_TAI,Nhiều Tỷ Kiên đồng thời,Tranh tài nội bộ,Tỷ_Kiên>=2,,,,,Hao_Tài=Cao,-20,Cao,93,38,Nhiều đối thủ hoặc người cùng chia lợi ích,active
39,PT039,TRANH_TAI,Nhiều Kiếp Tài đồng thời,Đoạt tài nghiêm trọng,Kiếp_Tài>=2,,,,,Hao_Tài=Rất_Cao,-30,Rất_Cao,99,39,Nguy cơ mất tài sản rất lớn,active
40,PT040,TRANH_TAI,Kiếp Tài và Tỷ Kiên đồng vượng,Hội chứng tranh tài,Kiếp_Tài=Vượng,Tỷ_Kiên=Vượng,,,,Hao_Tài=Tối_Đa,-35,Rất_Cao,99,40,Tổ hợp tranh tài mạnh nhất,active
41,PT041,XUNG,Tài tinh bị xung trực tiếp,Biến động tài sản,Tài=Bị_Xung,,,,,Hao_Tài=Cao,-18,Cao,92,41,Dễ mất tiền do biến động bất ngờ,active
42,PT042,XUNG,Tài khố bị xung,Mất tiền tích lũy,Tài_Khố=Bị_Xung,,,,,Hao_Tài=Rất_Cao,-24,Rất_Cao,97,42,Tài sản tích lũy bị ảnh hưởng,active
43,PT043,XUNG,Đại vận xung Tài,Hao tài theo vận,Đại_Vận=Xung_Tài,,,,,Hao_Tài=Cao,-20,Cao,94,43,Đại vận tạo áp lực tài chính,active
44,PT044,XUNG,Lưu niên xung Tài,Hao tài theo năm,Lưu_Niên=Xung_Tài,,,,,Hao_Tài=Khá,-12,Khá,88,44,Năm có rủi ro tài chính,active
45,PT045,HINH,Tài tinh bị hình,Tranh chấp tài sản,Tài=Bị_Hình,,,,,Hao_Tài=Cao,-16,Cao,90,45,Dễ phát sinh tranh chấp,active
46,PT046,HINH,Tài khố bị hình,Suy giảm tài sản,Tài_Khố=Bị_Hình,,,,,Hao_Tài=Cao,-18,Cao,91,46,Ảnh hưởng đến tài sản tích lũy,active
47,PT047,HAI,Tài tinh bị hại,Thất thoát âm thầm,Tài=Bị_Hại,,,,,Hao_Tài=Khá,-14,Khá,89,47,Mất tiền khó phát hiện,active
48,PT048,HAI,Tài khố bị hại,Suy giảm tích lũy,Tài_Khố=Bị_Hại,,,,,Hao_Tài=Cao,-17,Cao,90,48,Tài sản bị hao hụt từ từ,active
49,PT049,PHA,Tài tinh bị phá,Giảm tài sản,Tài=Bị_Phá,,,,,Hao_Tài=Cao,-18,Cao,91,49,Tài sản suy giảm rõ rệt,active
50,PT050,PHA,Tài khố bị phá,Mất tài sản lớn,Tài_Khố=Bị_Phá,,,,,Hao_Tài=Rất_Cao,-25,Rất_Cao,97,50,Ảnh hưởng nghiêm trọng đến tích lũy,active
51,PT051,KHONG_VONG,Tài gặp Không Vong,Tiền khó tụ,Tài=Không_Vong,,,,,Hao_Tài=Cao,-18,Cao,92,51,Thu nhập không giữ được,active
52,PT052,KHONG_VONG,Tài khố Không Vong,Khó tích lũy,Tài_Khố=Không_Vong,,,,,Hao_Tài=Cao,-20,Cao,93,52,Tài sản khó bền vững,active
53,PT053,XUNG_HOP,Tài vừa hợp vừa xung,Biến động lớn,Tài=Hợp_Xung_Đồng_Thời,,,,,Hao_Tài=Cao,-19,Cao,92,53,Tài chính thay đổi liên tục,active
54,PT054,XUNG_HOP,Tài bị nhiều Chi xung,Rủi ro cao,Số_Chi_Xung>=2,,,,,Hao_Tài=Rất_Cao,-24,Rất_Cao,97,54,Nhiều tác động bất lợi cùng lúc,active
55,PT055,HINH_HAI,Hình Hại đồng thời,Tổn thất kéo dài,Tài=Bị_Hình,Tài=Bị_Hại,,,,Hao_Tài=Cao,-20,Cao,93,55,Dễ phát sinh tranh chấp và hao hụt,active
56,PT056,PHA_XUNG,Phá và Xung đồng thời,Rủi ro cực lớn,Tài=Bị_Phá,Tài=Bị_Xung,,,,Hao_Tài=Rất_Cao,-28,Rất_Cao,98,56,Hội tụ nhiều yếu tố phá tài,active
57,PT057,KHONG_VONG,Không Vong gặp Đại Hao,Hao tài mạnh,Tài=Không_Vong,Đại_Hao=true,,,,Hao_Tài=Rất_Cao,-30,Rất_Cao,99,57,Khó giữ tài sản trong giai đoạn này,active
58,PT058,KHONG_VONG,Không Vong gặp Kiếp Tài,Mất tiền liên tục,Tài=Không_Vong,Kiếp_Tài=Vượng,,,,Hao_Tài=Rất_Cao,-30,Rất_Cao,99,58,Dễ thất thoát nhiều nguồn tài sản,active
59,PT059,TO_HOP,Tài bị Xung Hình Hại đồng thời,Tổng hợp phá tài,Tài=Bị_Xung,Tài=Bị_Hình,Tài=Bị_Hại,,,Hao_Tài=Tối_Đa,-35,Rất_Cao,99,59,Hội đủ các yếu tố phá tài nghiêm trọng,active
60,PT060,TO_HOP,Tài khố bị Xung Phá Không Vong,Mất khả năng tích lũy,Tài_Khố=Bị_Xung,Tài_Khố=Bị_Phá,Tài_Khố=Không_Vong,,,Hao_Tài=Tối_Đa,-36,Rất_Cao,99,60,Rủi ro mất tài sản tích lũy rất cao,active
61,PT061,DAI_VAN,Đại vận gặp Kiếp Tài,Hao tài theo vận,Đại_Vận=Kiếp_Tài,,,,,Hao_Tài=Rất_Cao,-24,Rất_Cao,97,61,Giai đoạn cạnh tranh tài chính mạnh,active
62,PT062,DAI_VAN,Đại vận gặp Tỷ Kiên,Giảm tích lũy,Đại_Vận=Tỷ_Kiên,,,,,Hao_Tài=Cao,-18,Cao,92,62,Dễ phát sinh chia sẻ lợi ích,active
63,PT063,DAI_VAN,Đại vận gặp Đại Hao,Hao hụt lớn,Đại_Vận=Đại_Hao,,,,,Hao_Tài=Rất_Cao,-28,Rất_Cao,98,63,Dễ có khoản chi bất thường lớn,active
64,PT064,DAI_VAN,Đại vận gặp Tiểu Hao,Chi phí tăng,Đại_Vận=Tiểu_Hao,,,,,Hao_Tài=Trung_Bình,-12,Trung_Bình,87,64,Chi tiêu nhỏ nhưng kéo dài,active
65,PT065,DAI_VAN,Đại vận xung Tài tinh,Biến động tài chính,Đại_Vận=Xung_Tài,,,,,Hao_Tài=Cao,-20,Cao,93,65,Dòng tiền thiếu ổn định,active
66,PT066,DAI_VAN,Đại vận phá Tài khố,Mất tích lũy,Đại_Vận=Phá_Tài_Khố,,,,,Hao_Tài=Rất_Cao,-25,Rất_Cao,97,66,Tài sản tích lũy bị suy giảm,active
67,PT067,DAI_VAN,Đại vận gặp Kỵ thần,Rủi ro tài chính,Đại_Vận=Kỵ_Thần,,,,,Hao_Tài=Cao,-18,Cao,91,67,Vận khí không hỗ trợ tài vận,active
68,PT068,DAI_VAN,Đại vận Thân nhược gánh Tài,Quá tải tài chính,Thân=Nhược,Đại_Vận=Sinh_Tài,,,,Hao_Tài=Cao,-22,Cao,94,68,Khó kiểm soát tài sản lớn,active
69,PT069,DAI_VAN,Đại vận Kiếp Tài gặp Đại Hao,Hao tài cực mạnh,Đại_Vận=Kiếp_Tài,Đại_Hao=true,,,,Hao_Tài=Rất_Cao,-32,Rất_Cao,99,69,Hội tụ nhiều yếu tố hao tài,active
70,PT070,DAI_VAN,Đại vận bất lợi kéo dài,Suy giảm tài vận,Đại_Vận=Bất_Lợi,,,,,Hao_Tài=Cao,-20,Cao,92,70,Cần hạn chế đầu tư lớn,active
71,PT071,LUU_NIEN,Lưu niên gặp Kiếp Tài,Hao tài trong năm,Lưu_Niên=Kiếp_Tài,,,,,Hao_Tài=Cao,-16,Cao,90,71,Năm có cạnh tranh tài chính,active
72,PT072,LUU_NIEN,Lưu niên gặp Đại Hao,Chi lớn bất ngờ,Lưu_Niên=Đại_Hao,,,,,Hao_Tài=Cao,-20,Cao,92,72,Dễ phát sinh chi phí ngoài kế hoạch,active
73,PT073,LUU_NIEN,Lưu niên xung Tài,Rủi ro tiền bạc,Lưu_Niên=Xung_Tài,,,,,Hao_Tài=Cao,-18,Cao,91,73,Dễ biến động thu nhập,active
74,PT074,LUU_NIEN,Lưu niên phá Tài khố,Mất tiền tích lũy,Lưu_Niên=Phá_Tài_Khố,,,,,Hao_Tài=Cao,-20,Cao,92,74,Không thuận lợi giữ tài sản,active
75,PT075,LUU_NIEN,Lưu niên gặp Kỵ thần,Giảm tài vận,Lưu_Niên=Kỵ_Thần,,,,,Hao_Tài=Khá,-14,Khá,88,75,Năm không thuận lợi tài chính,active
76,PT076,LUU_NIEN,Lưu niên gặp Không Vong,Tiền khó tụ,Lưu_Niên=Không_Vong,,,,,Hao_Tài=Cao,-18,Cao,91,76,Dễ mất cơ hội tài chính,active
77,PT077,LUU_NIEN,Lưu niên gặp Phá Toái,Mất mát tài sản,Lưu_Niên=Phá_Toái,,,,,Hao_Tài=Cao,-18,Cao,91,77,Dễ hư hỏng hoặc mất tài sản,active
78,PT078,LUU_NIEN,Lưu niên bất lợi liên tiếp,Hao tài kéo dài,Lưu_Niên=Bất_Lợi_2_Năm,,,,,Hao_Tài=Cao,-20,Cao,93,78,Cần ưu tiên phòng thủ tài chính,active
79,PT079,LUU_NIEN,Đại vận xấu gặp Lưu niên xấu,Cực kỳ bất lợi,Đại_Vận=Bất_Lợi,Lưu_Niên=Bất_Lợi,,,,Hao_Tài=Rất_Cao,-35,Rất_Cao,99,79,Vận và năm cùng bất lợi,active
80,PT080,LUU_NIEN,Đại vận Kiếp Tài gặp Lưu niên Đại Hao,Hao tài tối đa,Đại_Vận=Kiếp_Tài,Lưu_Niên=Đại_Hao,,,,Hao_Tài=Tối_Đa,-40,Rất_Cao,99,80,Nguy cơ hao tài rất lớn cần phòng ngừa,active
81,PT081,DAC_BIET,Hợp tác gặp Kiếp Tài,Rủi ro hợp tác,Kiếp_Tài=Vượng,Hợp_Tác=true,,,,Hao_Tài=Cao,-22,Cao,94,81,Dễ tranh chấp lợi ích với đối tác,active
82,PT082,DAC_BIET,Đầu tư khi Thân nhược,Rủi ro đầu tư,Thân=Nhược,Đầu_Tư=true,,,,Hao_Tài=Cao,-20,Cao,92,82,Năng lực quản trị rủi ro yếu,active
83,PT083,DAC_BIET,Đầu tư gặp Kỵ thần,Đầu tư thất bại,Đầu_Tư=true,Kỵ_Thần=true,,,,Hao_Tài=Rất_Cao,-25,Rất_Cao,96,83,Quyết định đầu tư dễ sai lầm,active
84,PT084,DAC_BIET,Bảo lãnh tài chính,Rủi ro liên đới,Bảo_Lãnh=true,,,,,Hao_Tài=Cao,-18,Cao,90,84,Dễ gánh nghĩa vụ tài chính của người khác,active
85,PT085,DAC_BIET,Cho vay thiếu bảo đảm,Mất vốn,Cho_Vay=true,Tài=Nhược,,,,Hao_Tài=Cao,-20,Cao,92,85,Rủi ro thu hồi vốn thấp,active
86,PT086,DAC_BIET,Kiện tụng tài sản,Hao phí pháp lý,Kiện_Tụng=true,,,,,Hao_Tài=Cao,-22,Cao,94,86,Chi phí pháp lý và bồi thường tăng,active
87,PT087,DAC_BIET,Bệnh tật kéo dài,Hao tài vì sức khỏe,Bệnh_Tật=Nghiêm_Trọng,,,,,Hao_Tài=Cao,-20,Cao,92,87,Chi phí điều trị lớn,active
88,PT088,DAC_BIET,Tai nạn bất ngờ,Hao tài đột xuất,Tai_Nạn=true,,,,,Hao_Tài=Cao,-24,Rất_Cao,95,88,Phát sinh chi phí ngoài dự kiến,active
89,PT089,DAC_BIET,Kinh doanh sai thời điểm,Thua lỗ,Kinh_Doanh=true,Đại_Vận=Bất_Lợi,,,,Hao_Tài=Cao,-22,Cao,94,89,Không gặp thời vận thuận lợi,active
90,PT090,DAC_BIET,Mở rộng quá nhanh,Mất cân đối vốn,Đầu_Tư=Mở_Rộng_Quá_Mức,,,,,Hao_Tài=Cao,-18,Cao,91,90,Dòng tiền không theo kịp tăng trưởng,active
91,PT091,DAC_BIET,Sử dụng đòn bẩy cao,Rủi ro tài chính,Nợ_Vay=Cao,,,,,Hao_Tài=Cao,-22,Cao,93,91,Áp lực trả nợ lớn,active
92,PT092,DAC_BIET,Đầu cơ quá mức,Thua lỗ đầu cơ,Đầu_Cơ=true,Thiên_Tài=Quá_Vượng,,,,Hao_Tài=Cao,-20,Cao,92,92,Dễ đưa ra quyết định cảm tính,active
93,PT093,DAC_BIET,Lừa đảo tài chính,Mất tài sản,Lừa_Đảo=true,,,,,Hao_Tài=Rất_Cao,-30,Rất_Cao,99,93,Nguy cơ mất vốn do gian lận,active
94,PT094,DAC_BIET,Đầu tư theo đám đông,Rủi ro tâm lý,Đầu_Tư=Theo_Đám_Đông,,,,,Hao_Tài=Cao,-18,Cao,90,94,Thiếu phân tích độc lập,active
95,PT095,DAC_BIET,Quản trị tài chính yếu,Tiêu hao vốn,Quản_Trị=Tốt=false,,,,,Hao_Tài=Cao,-18,Cao,90,95,Thiếu kế hoạch tài chính dài hạn,active
96,PT096,DAC_BIET,Nhiều rủi ro đồng thời,Tăng nguy cơ hao tài,Kiếp_Tài=Vượng,Đại_Hao=true,Kỵ_Thần=true,,,Hao_Tài=Rất_Cao,-32,Rất_Cao,99,96,Nhiều yếu tố bất lợi cùng xuất hiện,active
97,PT097,DAC_BIET,Phá sản do dòng tiền,Dòng tiền âm,Dòng_Tiền=Âm,Kéo_Dài=true,,,,Hao_Tài=Rất_Cao,-35,Rất_Cao,99,97,Dòng tiền không đủ duy trì hoạt động,active
98,PT098,DAC_BIET,Phá sản do đầu tư sai,Thất bại tài chính,Đầu_Tư=Thất_Bại,Nợ_Vay=Cao,,,,Hao_Tài=Rất_Cao,-36,Rất_Cao,99,98,Mất khả năng thanh toán,active
99,PT099,DAC_BIET,Tài khố phá hoàn toàn,Mất nền tảng tài sản,Tài_Khố=Phá_Hoàn_Toàn,,,,,Hao_Tài=Tối_Đa,-38,Rất_Cao,99,99,Tài sản tích lũy gần như mất hết,active
100,PT100,DAC_BIET,Tổ hợp phá tài tối đa,Kết luận tổng hợp,Kiếp_Tài=Vượng,Đại_Hao=true,Tài_Khố=Phá_Hoàn_Toàn,Đại_Vận=Bất_Lợi,Lưu_Niên=Bất_Lợi,Hao_Tài=Tối_Đa,-50,Rất_Cao,100,100,Hội tụ các yếu tố phá tài nghiêm trọng nhất,active
