mapping_id,year_stem,month_branch,month_index,month_stem,month_ganzhi,status,note
CT048,Canh,Suu,12,Ky,KySuu,ACTIVE,

CT049,Binh,Dan,1,Canh,CanhDan,ACTIVE,Bính niên
CT050,Binh,Mao,2,Tan,TanMao,ACTIVE,
CT051,Binh,Thin,3,Nham,NhamThin,ACTIVE,
CT052,Binh,Ty,4,Quy,QuyTy,ACTIVE,
CT053,Binh,Ngo,5,Giap,GiapNgo,ACTIVE,
CT054,Binh,Mui,6,At,AtMui,ACTIVE,
CT055,Binh,Than,7,Binh,BinhThan,ACTIVE,
CT056,Binh,Dau,8,Dinh,DinhDau,ACTIVE,
CT057,Binh,Tuat,9,Mau,MauTuat,ACTIVE,
CT058,Binh,Hoi,10,Ky,KyHoi,ACTIVE,
CT059,Binh,Ty,11,Canh,CanhTy,ACTIVE,
CT060,Binh,Suu,12,Tan,TanSuu,ACTIVE,

CT061,Tan,Dan,1,Canh,CanhDan,ACTIVE,Tân niên
CT062,Tan,Mao,2,Tan,TanMao,ACTIVE,
CT063,Tan,Thin,3,Nham,NhamThin,ACTIVE,
CT064,Tan,Ty,4,Quy,QuyTy,ACTIVE,
CT065,Tan,Ngo,5,Giap,GiapNgo,ACTIVE,
CT066,Tan,Mui,6,At,AtMui,ACTIVE,
CT067,Tan,Than,7,Binh,BinhThan,ACTIVE,
CT068,Tan,Dau,8,Dinh,DinhDau,ACTIVE,
CT069,Tan,Tuat,9,Mau,MauTuat,ACTIVE,
CT070,Tan,Hoi,10,Ky,KyHoi,ACTIVE,
CT071,Tan,Ty,11,Canh,CanhTy,ACTIVE,
CT072,Tan,Suu,12,Tan,TanSuu,ACTIVE,

CT073,Dinh,Dan,1,Nham,NhamDan,ACTIVE,Đinh niên
CT074,Dinh,Mao,2,Quy,QuyMao,ACTIVE,
CT075,Dinh,Thin,3,Giap,GiapThin,ACTIVE,
CT076,Dinh,Ty,4,At,AtTy,ACTIVE,
CT077,Dinh,Ngo,5,Binh,BinhNgo,ACTIVE,
CT078,Dinh,Mui,6,Dinh,DinhMui,ACTIVE,
CT079,Dinh,Than,7,Mau,MauThan,ACTIVE,
CT080,Dinh,Dau,8,Ky,KyDau,ACTIVE,
CT081,Dinh,Tuat,9,Canh,CanhTuat,ACTIVE,
CT082,Dinh,Hoi,10,Tan,TanHoi,ACTIVE,
CT083,Dinh,Ty,11,Nham,NhamTy,ACTIVE,
CT084,Dinh,Suu,12,Quy,QuySuu,ACTIVE,

CT085,Nham,Dan,1,Nham,NhamDan,ACTIVE,Nhâm niên
CT086,Nham,Mao,2,Quy,QuyMao,ACTIVE,
CT087,Nham,Thin,3,Giap,GiapThin,ACTIVE,
CT088,Nham,Ty,4,At,AtTy,ACTIVE,
CT089,Nham,Ngo,5,Binh,BinhNgo,ACTIVE,
CT090,Nham,Mui,6,Dinh,DinhMui,ACTIVE,
CT091,Nham,Than,7,Mau,MauThan,ACTIVE,
CT092,Nham,Dau,8,Ky,KyDau,ACTIVE,
CT093,Nham,Tuat,9,Canh,CanhTuat,ACTIVE,
CT094,Nham,Hoi,10,Tan,TanHoi,ACTIVE,
CT095,Nham,Ty,11,Nham,NhamTy,ACTIVE,
CT096,Nham,Suu,12,Quy,QuySuu,ACTIVE,

CT097,Mau,Dan,1,Giap,GiapDan,ACTIVE,Mậu niên
CT098,Mau,Mao,2,At,AtMao,ACTIVE,
CT099,Mau,Thin,3,Binh,BinhThin,ACTIVE,
CT100,Mau,Ty,4,Dinh,DinhTy,ACTIVE,
CT101,Mau,Ngo,5,Mau,MauNgo,ACTIVE,
CT102,Mau,Mui,6,Ky,KyMui,ACTIVE,
CT103,Mau,Than,7,Canh,CanhThan,ACTIVE,
CT104,Mau,Dau,8,Tan,TanDau,ACTIVE,
CT105,Mau,Tuat,9,Nham,NhamTuat,ACTIVE,
CT106,Mau,Hoi,10,Quy,QuyHoi,ACTIVE,
CT107,Mau,Ty,11,Giap,GiapTy,ACTIVE,
CT108,Mau,Suu,12,At,AtSuu,ACTIVE,

CT109,Quy,Dan,1,Giap,GiapDan,ACTIVE,Quý niên
CT110,Quy,Mao,2,At,AtMao,ACTIVE,
CT111,Quy,Thin,3,Binh,BinhThin,ACTIVE,
CT112,Quy,Ty,4,Dinh,DinhTy,ACTIVE,
CT113,Quy,Ngo,5,Mau,MauNgo,ACTIVE,
CT114,Quy,Mui,6,Ky,KyMui,ACTIVE,
CT115,Quy,Than,7,Canh,CanhThan,ACTIVE,
CT116,Quy,Dau,8,Tan,TanDau,ACTIVE,
CT117,Quy,Tuat,9,Nham,NhamTuat,ACTIVE,
CT118,Quy,Hoi,10,Quy,QuyHoi,ACTIVE,
CT119,Quy,Ty,11,Giap,GiapTy,ACTIVE,
CT120,Quy,Suu,12,At,AtSuu,ACTIVE,
