id,ma,can,chi,hoa_giap,nap_am,ngu_hanh,am_duong,ghi_chu
24,NA024,Đinh,Hợi,Đinh Hợi,Ốc Thượng Thổ,Thổ,Âm,Cặp 24
25,NA025,Mậu,Tý,Mậu Tý,Tích Lịch Hỏa,Hỏa,Dương,Cặp 25
26,NA026,Kỷ,Sửu,Kỷ Sửu,Tích Lịch Hỏa,Hỏa,Âm,Cặp 26
27,NA027,Canh,Dần,Canh Dần,Tùng Bách Mộc,Mộc,Dương,Cặp 27
28,NA028,Tân,Mão,Tân Mão,Tùng Bách Mộc,Mộc,Âm,Cặp 28
29,NA029,Nhâm,Thìn,Nhâm Thìn,Trường Lưu Thủy,Thủy,Dương,Cặp 29
30,NA030,Quý,Tỵ,Quý Tỵ,Trường Lưu Thủy,Thủy,Âm,Cặp 30
31,NA031,Giáp,Ngọ,Giáp Ngọ,Sa Trung Kim,Kim,Dương,Cặp 31
32,NA032,Ất,Mùi,Ất Mùi,Sa Trung Kim,Kim,Âm,Cặp 32
33,NA033,Bính,Thân,Bính Thân,Sơn Hạ Hỏa,Hỏa,Dương,Cặp 33
34,NA034,Đinh,Dậu,Đinh Dậu,Sơn Hạ Hỏa,Hỏa,Âm,Cặp 34
35,NA035,Mậu,Tuất,Mậu Tuất,Bình Địa Mộc,Mộc,Dương,Cặp 35
36,NA036,Kỷ,Hợi,Kỷ Hợi,Bình Địa Mộc,Mộc,Âm,Cặp 36
37,NA037,Canh,Tý,Canh Tý,Bích Thượng Thổ,Thổ,Dương,Cặp 37
38,NA038,Tân,Sửu,Tân Sửu,Bích Thượng Thổ,Thổ,Âm,Cặp 38
39,NA039,Nhâm,Dần,Nhâm Dần,Kim Bạch Kim,Kim,Dương,Cặp 39
40,NA040,Quý,Mão,Quý Mão,Kim Bạch Kim,Kim,Âm,Cặp 40
41,NA041,Giáp,Thìn,Giáp Thìn,Phú Đăng Hỏa,Hỏa,Dương,Cặp 41
42,NA042,Ất,Tỵ,Ất Tỵ,Phú Đăng Hỏa,Hỏa,Âm,Cặp 42
43,NA043,Bính,Ngọ,Bính Ngọ,Thiên Hà Thủy,Thủy,Dương,Cặp 43
44,NA044,Đinh,Mùi,Đinh Mùi,Thiên Hà Thủy,Thủy,Âm,Cặp 44
45,NA045,Mậu,Thân,Mậu Thân,Đại Trạch Thổ,Thổ,Dương,Cặp 45
46,NA046,Kỷ,Dậu,Kỷ Dậu,Đại Trạch Thổ,Thổ,Âm,Cặp 46
47,NA047,Canh,Tuất,Canh Tuất,Thoa Xuyến Kim,Kim,Dương,Cặp 47
48,NA048,Tân,Hợi,Tân Hợi,Thoa Xuyến Kim,Kim,Âm,Cặp 48
49,NA049,Nhâm,Tý,Nhâm Tý,Tang Đố Mộc,Mộc,Dương,Cặp 49
50,NA050,Quý,Sửu,Quý Sửu,Tang Đố Mộc,Mộc,Âm,Cặp 50
51,NA051,Giáp,Dần,Giáp Dần,Đại Khê Thủy,Thủy,Dương,Cặp 51
52,NA052,Ất,Mão,Ất Mão,Đại Khê Thủy,Thủy,Âm,Cặp 52
53,NA053,Bính,Thìn,Bính Thìn,Sa Trung Thổ,Thổ,Dương,Cặp 53
54,NA054,Đinh,Tỵ,Đinh Tỵ,Sa Trung Thổ,Thổ,Âm,Cặp 54
55,NA055,Mậu,Ngọ,Mậu Ngọ,Thiên Thượng Hỏa,Hỏa,Dương,Cặp 55
56,NA056,Kỷ,Mùi,Kỷ Mùi,Thiên Thượng Hỏa,Hỏa,Âm,Cặp 56
57,NA057,Canh,Thân,Canh Thân,Thạch Lựu Mộc,Mộc,Dương,Cặp 57
58,NA058,Tân,Dậu,Tân Dậu,Thạch Lựu Mộc,Mộc,Âm,Cặp 58
59,NA059,Nhâm,Tuất,Nhâm Tuất,Đại Hải Thủy,Thủy,Dương,Cặp 59
60,NA060,Quý,Hợi,Quý Hợi,Đại Hải Thủy,Thủy,Âm,Cặp 60
