id,ma,nguyet_lenh,chi_ngay,thu_tu,sao,loai,ngu_hanh_cat_hung,ghi_chu
25,HD025,Thìn,Dần,1,Thanh Long,Hoàng Đạo,Cát,
26,HD026,Thìn,Mão,2,Minh Đường,Hoàng Đạo,Cát,
27,HD027,Thìn,Thìn,3,Thiên Hình,Hắc Đạo,Hung,
28,HD028,Thìn,Tỵ,4,Chu Tước,Hắc Đạo,Hung,
29,HD029,Thìn,Ngọ,5,Kim Quỹ,Hoàng Đạo,Cát,
30,HD030,Thìn,Mùi,6,Kim Đường,Hoàng Đạo,Cát,
31,HD031,Thìn,Thân,7,Bạch Hổ,Hắc Đạo,Hung,
32,HD032,Thìn,Dậu,8,Ngọc Đường,Hoàng Đạo,Cát,
33,HD033,Thìn,Tuất,9,Thiên Lao,Hắc Đạo,Hung,
34,HD034,Thìn,Hợi,10,Huyền Vũ,Hắc Đạo,Hung,
35,HD035,Thìn,Tý,11,Tư Mệnh,Hoàng Đạo,Cát,
36,HD036,Thìn,Sửu,12,Câu Trần,Hắc Đạo,Hung,

37,HD037,Tỵ,Mão,1,Thanh Long,Hoàng Đạo,Cát,
38,HD038,Tỵ,Thìn,2,Minh Đường,Hoàng Đạo,Cát,
39,HD039,Tỵ,Tỵ,3,Thiên Hình,Hắc Đạo,Hung,
40,HD040,Tỵ,Ngọ,4,Chu Tước,Hắc Đạo,Hung,
41,HD041,Tỵ,Mùi,5,Kim Quỹ,Hoàng Đạo,Cát,
42,HD042,Tỵ,Thân,6,Kim Đường,Hoàng Đạo,Cát,
43,HD043,Tỵ,Dậu,7,Bạch Hổ,Hắc Đạo,Hung,
44,HD044,Tỵ,Tuất,8,Ngọc Đường,Hoàng Đạo,Cát,
45,HD045,Tỵ,Hợi,9,Thiên Lao,Hắc Đạo,Hung,
46,HD046,Tỵ,Tý,10,Huyền Vũ,Hắc Đạo,Hung,
47,HD047,Tỵ,Sửu,11,Tư Mệnh,Hoàng Đạo,Cát,
48,HD048,Tỵ,Dần,12,Câu Trần,Hắc Đạo,Hung,

49,HD049,Ngọ,Thìn,1,Thanh Long,Hoàng Đạo,Cát,
50,HD050,Ngọ,Tỵ,2,Minh Đường,Hoàng Đạo,Cát,
51,HD051,Ngọ,Ngọ,3,Thiên Hình,Hắc Đạo,Hung,
52,HD052,Ngọ,Mùi,4,Chu Tước,Hắc Đạo,Hung,
53,HD053,Ngọ,Thân,5,Kim Quỹ,Hoàng Đạo,Cát,
54,HD054,Ngọ,Dậu,6,Kim Đường,Hoàng Đạo,Cát,
55,HD055,Ngọ,Tuất,7,Bạch Hổ,Hắc Đạo,Hung,
56,HD056,Ngọ,Hợi,8,Ngọc Đường,Hoàng Đạo,Cát,
57,HD057,Ngọ,Tý,9,Thiên Lao,Hắc Đạo,Hung,
58,HD058,Ngọ,Sửu,10,Huyền Vũ,Hắc Đạo,Hung,
59,HD059,Ngọ,Dần,11,Tư Mệnh,Hoàng Đạo,Cát,
60,HD060,Ngọ,Mão,12,Câu Trần,Hắc Đạo,Hung,

61,HD061,Mùi,Tỵ,1,Thanh Long,Hoàng Đạo,Cát,
62,HD062,Mùi,Ngọ,2,Minh Đường,Hoàng Đạo,Cát,
63,HD063,Mùi,Mùi,3,Thiên Hình,Hắc Đạo,Hung,
64,HD064,Mùi,Thân,4,Chu Tước,Hắc Đạo,Hung,
65,HD065,Mùi,Dậu,5,Kim Quỹ,Hoàng Đạo,Cát,
66,HD066,Mùi,Tuất,6,Kim Đường,Hoàng Đạo,Cát,
67,HD067,Mùi,Hợi,7,Bạch Hổ,Hắc Đạo,Hung,
68,HD068,Mùi,Tý,8,Ngọc Đường,Hoàng Đạo,Cát,
69,HD069,Mùi,Sửu,9,Thiên Lao,Hắc Đạo,Hung,
70,HD070,Mùi,Dần,10,Huyền Vũ,Hắc Đạo,Hung,
71,HD071,Mùi,Mão,11,Tư Mệnh,Hoàng Đạo,Cát,
72,HD072,Mùi,Thìn,12,Câu Trần,Hắc Đạo,Hung,

73,HD073,Thân,Ngọ,1,Thanh Long,Hoàng Đạo,Cát,
74,HD074,Thân,Mùi,2,Minh Đường,Hoàng Đạo,Cát,
75,HD075,Thân,Thân,3,Thiên Hình,Hắc Đạo,Hung,
76,HD076,Thân,Dậu,4,Chu Tước,Hắc Đạo,Hung,
77,HD077,Thân,Tuất,5,Kim Quỹ,Hoàng Đạo,Cát,
78,HD078,Thân,Hợi,6,Kim Đường,Hoàng Đạo,Cát,
79,HD079,Thân,Tý,7,Bạch Hổ,Hắc Đạo,Hung,
80,HD080,Thân,Sửu,8,Ngọc Đường,Hoàng Đạo,Cát,
81,HD081,Thân,Dần,9,Thiên Lao,Hắc Đạo,Hung,
82,HD082,Thân,Mão,10,Huyền Vũ,Hắc Đạo,Hung,
83,HD083,Thân,Thìn,11,Tư Mệnh,Hoàng Đạo,Cát,
84,HD084,Thân,Tỵ,12,Câu Trần,Hắc Đạo,Hung,

85,HD085,Dậu,Mùi,1,Thanh Long,Hoàng Đạo,Cát,
86,HD086,Dậu,Thân,2,Minh Đường,Hoàng Đạo,Cát,
87,HD087,Dậu,Dậu,3,Thiên Hình,Hắc Đạo,Hung,
88,HD088,Dậu,Tuất,4,Chu Tước,Hắc Đạo,Hung,
89,HD089,Dậu,Hợi,5,Kim Quỹ,Hoàng Đạo,Cát,
90,HD090,Dậu,Tý,6,Kim Đường,Hoàng Đạo,Cát,
91,HD091,Dậu,Sửu,7,Bạch Hổ,Hắc Đạo,Hung,
92,HD092,Dậu,Dần,8,Ngọc Đường,Hoàng Đạo,Cát,
93,HD093,Dậu,Mão,9,Thiên Lao,Hắc Đạo,Hung,
94,HD094,Dậu,Thìn,10,Huyền Vũ,Hắc Đạo,Hung,
95,HD095,Dậu,Tỵ,11,Tư Mệnh,Hoàng Đạo,Cát,
96,HD096,Dậu,Ngọ,12,Câu Trần,Hắc Đạo,Hung,

97,HD097,Tuất,Thân,1,Thanh Long,Hoàng Đạo,Cát,
98,HD098,Tuất,Dậu,2,Minh Đường,Hoàng Đạo,Cát,
99,HD099,Tuất,Tuất,3,Thiên Hình,Hắc Đạo,Hung,
100,HD100,Tuất,Hợi,4,Chu Tước,Hắc Đạo,Hung,
101,HD101,Tuất,Tý,5,Kim Quỹ,Hoàng Đạo,Cát,
102,HD102,Tuất,Sửu,6,Kim Đường,Hoàng Đạo,Cát,
103,HD103,Tuất,Dần,7,Bạch Hổ,Hắc Đạo,Hung,
104,HD104,Tuất,Mão,8,Ngọc Đường,Hoàng Đạo,Cát,
105,HD105,Tuất,Thìn,9,Thiên Lao,Hắc Đạo,Hung,
106,HD106,Tuất,Tỵ,10,Huyền Vũ,Hắc Đạo,Hung,
107,HD107,Tuất,Ngọ,11,Tư Mệnh,Hoàng Đạo,Cát,
108,HD108,Tuất,Mùi,12,Câu Trần,Hắc Đạo,Hung,

109,HD109,Hợi,Dậu,1,Thanh Long,Hoàng Đạo,Cát,
110,HD110,Hợi,Tuất,2,Minh Đường,Hoàng Đạo,Cát,
111,HD111,Hợi,Hợi,3,Thiên Hình,Hắc Đạo,Hung,
112,HD112,Hợi,Tý,4,Chu Tước,Hắc Đạo,Hung,
113,HD113,Hợi,Sửu,5,Kim Quỹ,Hoàng Đạo,Cát,
114,HD114,Hợi,Dần,6,Kim Đường,Hoàng Đạo,Cát,
115,HD115,Hợi,Mão,7,Bạch Hổ,Hắc Đạo,Hung,
116,HD116,Hợi,Thìn,8,Ngọc Đường,Hoàng Đạo,Cát,
117,HD117,Hợi,Tỵ,9,Thiên Lao,Hắc Đạo,Hung,
118,HD118,Hợi,Ngọ,10,Huyền Vũ,Hắc Đạo,Hung,
119,HD119,Hợi,Mùi,11,Tư Mệnh,Hoàng Đạo,Cát,
120,HD120,Hợi,Thân,12,Câu Trần,Hắc Đạo,Hung,

121,HD121,Tý,Tuất,1,Thanh Long,Hoàng Đạo,Cát,
122,HD122,Tý,Hợi,2,Minh Đường,Hoàng Đạo,Cát,
123,HD123,Tý,Tý,3,Thiên Hình,Hắc Đạo,Hung,
124,HD124,Tý,Sửu,4,Chu Tước,Hắc Đạo,Hung,
125,HD125,Tý,Dần,5,Kim Quỹ,Hoàng Đạo,Cát,
126,HD126,Tý,Mão,6,Kim Đường,Hoàng Đạo,Cát,
127,HD127,Tý,Thìn,7,Bạch Hổ,Hắc Đạo,Hung,
128,HD128,Tý,Tỵ,8,Ngọc Đường,Hoàng Đạo,Cát,
129,HD129,Tý,Ngọ,9,Thiên Lao,Hắc Đạo,Hung,
130,HD130,Tý,Mùi,10,Huyền Vũ,Hắc Đạo,Hung,
131,HD131,Tý,Thân,11,Tư Mệnh,Hoàng Đạo,Cát,
132,HD132,Tý,Dậu,12,Câu Trần,Hắc Đạo,Hung,

133,HD133,Sửu,Hợi,1,Thanh Long,Hoàng Đạo,Cát,
134,HD134,Sửu,Tý,2,Minh Đường,Hoàng Đạo,Cát,
135,HD135,Sửu,Sửu,3,Thiên Hình,Hắc Đạo,Hung,
136,HD136,Sửu,Dần,4,Chu Tước,Hắc Đạo,Hung,
137,HD137,Sửu,Mão,5,Kim Quỹ,Hoàng Đạo,Cát,
138,HD138,Sửu,Thìn,6,Kim Đường,Hoàng Đạo,Cát,
139,HD139,Sửu,Tỵ,7,Bạch Hổ,Hắc Đạo,Hung,
140,HD140,Sửu,Ngọ,8,Ngọc Đường,Hoàng Đạo,Cát,
141,HD141,Sửu,Mùi,9,Thiên Lao,Hắc Đạo,Hung,
142,HD142,Sửu,Thân,10,Huyền Vũ,Hắc Đạo,Hung,
143,HD143,Sửu,Dậu,11,Tư Mệnh,Hoàng Đạo,Cát,
144,HD144,Sửu,Tuất,12,Câu Trần,Hắc Đạo,Hung,
