rule_id,nhom_rule,ten_rule,do_uu_tien,dieu_kien_1,toan_tu_1,dieu_kien_2,toan_tu_2,dieu_kien_3,toan_tu_3,dieu_kien_4,ket_qua,muc_do,diem_cong,diem_tru,mo_hinh_kinh_doanh,quy_mo,vai_tro_phu_hop,khuyen_nghi,rui_ro,chu_ky_kinh_te,ngu_hanh_uu_tien,thap_than_chu_dao,ghi_chu,trang_thai
KD026,Mo_Hinh,Phù hợp dịch vụ,Cao,thuong_quan>=70,AND,,AND,,AND,,Dich_Vu,Cao,12,0,Dich_Vu,Doanh_Nghiep_Nho,Chu_Doanh_Nghiep,Kinh doanh dịch vụ chuyên môn,Thap,CK006,Hoa,Thuong_Quan,Giá trị từ kỹ năng,active
KD027,Mo_Hinh,Phù hợp tư vấn,Cao,chinh_an>=70,AND,thien_an>=60,AND,,AND,,Tu_Van,Cao,12,0,Dich_Vu,Ca_Nhan,Chuyen_Gia,Bán tri thức và kinh nghiệm,Thap,CK005,Moc,Chinh_An,Thu nhập từ chuyên môn,active
KD028,Mo_Hinh,Phù hợp giáo dục,Cao,chinh_an>=80,AND,,AND,,AND,,Giao_Duc,Cao,10,0,Giao_Duc,Doanh_Nghiep_Nho,Chuyen_Gia,Đào tạo và huấn luyện,Thap,CK005,Moc,Chinh_An,Phát triển lâu dài,active
KD029,Mo_Hinh,Phù hợp công nghệ,Rat_Cao,thuong_quan>=75,AND,thuc_than>=70,AND,,AND,,Cong_Nghe,Rat_Cao,18,0,Cong_Nghe,Startup,Sang_Lap,Khởi nghiệp công nghệ,Trung_Binh,CK006,Hoa,Thuong_Quan,Tăng trưởng nhanh,active
KD030,Mo_Hinh,Phù hợp AI và phần mềm,Rat_Cao,thuong_quan>=80,AND,dung_than=Hoa,AND,,AND,,AI_Phan_Mem,Rat_Cao,20,0,Cong_Nghe,Startup,Sang_Lap,Tập trung AI và phần mềm,Trung_Binh,CK006,Hoa,Thuong_Quan,Ngành tăng trưởng mạnh,active
KD031,Mo_Hinh,Phù hợp thương mại điện tử,Cao,thuong_quan>=65,AND,thien_tai>=65,AND,,AND,,Thuong_Mai_Dien_Tu,Cao,14,0,Thuong_Mai,Doanh_Nghiep_Nho,Chu_Doanh_Nghiep,Khai thác kênh online,Trung_Binh,CK006,Hoa,Thuong_Quan,Bán hàng đa nền tảng,active
KD032,Mo_Hinh,Phù hợp logistics,Cao,chinh_quan>=70,AND,thien_tai>=60,AND,,AND,,Logistics,Cao,12,0,Logistics,Doanh_Nghiep_Vua,Quan_Ly,Đầu tư chuỗi cung ứng,Trung_Binh,CK005,Kim,Chinh_Quan,Quản trị tốt,active
KD033,Mo_Hinh,Phù hợp tài chính,Cao,thien_tai>=75,AND,chinh_quan>=60,AND,,AND,,Tai_Chinh,Cao,15,0,Tai_Chinh,Doanh_Nghiep_Vua,Nha_Dau_Tu,Đầu tư tài chính chuyên nghiệp,Trung_Binh,CK006,Kim,Thien_Tai,Dòng vốn lớn,active
KD034,Mo_Hinh,Phù hợp bất động sản,Cao,thien_tai>=75,AND,dung_than=Tho,AND,,AND,,Bat_Dong_San,Cao,16,0,Bat_Dong_San,Doanh_Nghiep_Vua,Chu_Doanh_Nghiep,Đầu tư bất động sản,Trung_Binh,CK005,Tho,Thien_Tai,Đầu tư trung dài hạn,active
KD035,Mo_Hinh,Phù hợp nhượng quyền,Cao,chinh_tai>=70,AND,chinh_quan>=60,AND,,AND,,Nhuong_Quyen,Cao,12,0,Dich_Vu,Doanh_Nghiep_Nho,Quan_Ly,Mở rộng bằng franchise,Thap,CK005,Tho,Chinh_Tai,Mô hình chuẩn hóa,active
KD036,Mo_Hinh,Phù hợp doanh nghiệp gia đình,Trung_Binh,ty_kien>=65,AND,chinh_tai>=60,AND,,AND,,Gia_Dinh,Trung_Binh,8,2,Da_Nganh,Doanh_Nghiep_Nho,Dong_Sang_Lap,Khai thác nguồn lực gia đình,Trung_Binh,CK005,Tho,Ty_Kien,Cần phân quyền rõ ràng,active
KD037,Mo_Hinh,Phù hợp Startup,Rat_Cao,thuong_quan>=80,AND,than_vuong=True,AND,,AND,,Startup,Rat_Cao,18,0,Cong_Nghe,Startup,Sang_Lap,Khởi nghiệp đổi mới sáng tạo,Cao,CK006,Hoa,Thuong_Quan,Tăng trưởng nhanh nhưng rủi ro cao,active
KD038,Mo_Hinh,Phù hợp góp vốn,Cao,than_nhuoc=True,AND,thien_tai>=70,AND,,AND,,Gop_Von,Cao,10,2,Dau_Tu,Ca_Nhan,Nha_Dau_Tu,Nên góp vốn thay vì trực tiếp điều hành,Thap,CK005,Kim,Thien_Tai,Tận dụng đối tác mạnh,active
KD039,Mo_Hinh,Phù hợp kinh doanh quốc tế,Cao,thien_tai>=80,AND,thuong_quan>=70,AND,,AND,,Quoc_Te,Rat_Cao,18,0,Thuong_Mai,Doanh_Nghiep_Lon,CEO,Phát triển xuất nhập khẩu,Trung_Binh,CK006,Kim,Thien_Tai,Có khả năng mở rộng quốc tế,active
KD040,Mo_Hinh,Phù hợp tập đoàn,Rat_Cao,than_vuong=True,AND,thien_tai>=80,AND,chinh_quan>=70,AND,thuc_than>=70,Tap_Doan,Rat_Cao,25,0,Da_Nganh,Tap_Doan,CEO,Xây dựng hệ sinh thái doanh nghiệp,Trung_Binh,CK006,Hoa,Thien_Tai,Rule mô hình kinh doanh cao nhất,active
