id,ma_quan_he,ten,thien_can,dia_chi,am_duong,ngu_hanh_nap_am,mo_ta
HG020,HGI020,Quý Mùi,Quý,Mùi,Âm,Dương Liễu Mộc,Gỗ cây liễu
HG021,HGI021,Giáp Thân,Giáp,Thân,Dương,Tuyền Trung Thủy,Nước trong suối
HG022,HGI022,Ất Dậu,Ất,Dậu,Âm,Tuyền Trung Thủy,Nước trong suối
HG023,HGI023,Bính Tuất,Bính,Tuất,Dương,Ốc Thượng Thổ,Đất mái nhà
HG024,HGI024,Đinh Hợi,Đinh,Hợi,Âm,Ốc Thượng Thổ,Đất mái nhà
HG025,HGI025,Mậu Tý,Mậu,Tý,Dương,Tích Lịch Hỏa,Lửa sấm sét
HG026,HGI026,Kỷ Sửu,Kỷ,Sửu,Âm,Tích Lịch Hỏa,Lửa sấm sét
HG027,HGI027,Canh Dần,Canh,Dần,Dương,Tùng Bách Mộc,Gỗ tùng bách
HG028,HGI028,Tân Mão,Tân,Mão,Âm,Tùng Bách Mộc,Gỗ tùng bách
HG029,HGI029,Nhâm Thìn,Nhâm,Thìn,Dương,Trường Lưu Thủy,Nước sông dài
HG030,HGI030,Quý Tỵ,Quý,Tỵ,Âm,Trường Lưu Thủy,Nước sông dài
HG031,HGI031,Giáp Ngọ,Giáp,Ngọ,Dương,Sa Trung Kim,Kim trong cát
HG032,HGI032,Ất Mùi,Ất,Mùi,Âm,S a Trung Kim,Kim trong cát
HG033,HGI033,Bính Thân,Bính,Thân,Dương,Sơn Hạ Hỏa,Lửa dưới núi
HG034,HGI034,Đinh Dậu,Đinh,Dậu,Âm,Sơn Hạ Hỏa,Lửa dưới núi
HG035,HGI035,Mậu Tuất,Mậu,Tuất,Dương,Bình Địa Mộc,Gỗ đồng bằng
HG036,HGI036,Kỷ Hợi,Kỷ,Hợi,Âm,Bình Địa Mộc,Gỗ đồng bằng
HG037,HGI037,Canh Tý,Canh,Tý,Dương,Bích Thượng Thổ,Đất trên tường
HG038,HGI038,Tân Sửu,Tân,Sửu,Âm,Bích Thượng Thổ,Đất trên tường
HG039,HGI039,Nhâm Dần,Nhâm,Dần,Dương,Kim Bạch Kim,Kim trang sức
HG040,HGI040,Quý Mão,Quý,Mão,Âm,Kim Bạch Kim,Kim trang sức
HG041,HGI041,Giáp Thìn,Giáp,Thìn,Dương,Phú Đăng Hỏa,Lửa đèn lớn
HG042,HGI042,Ất Tỵ,Ất,Tỵ,Âm,Phú Đăng Hỏa,Lửa đèn lớn
HG043,HGI043,Bính Ngọ,Bính,Ngọ,Dương,Thiên Hà Thủy,Nước trên trời
HG044,HGI044,Đinh Mùi,Đinh,Mùi,Âm,Thiên Hà Thủy,Nước trên trời
HG045,HGI045,Mậu Thân,Mậu,Thân,Dương,Đại Dịch Thổ,Đất dịch chuyển
HG046,HGI046,Kỷ Dậu,Kỷ,Dậu,Âm,Đại Dịch Thổ,Đất dịch chuyển
HG047,HGI047,Canh Tuất,Canh,Tuất,Dương,Thoa Xuyến Kim,Kim trang sức
HG048,HGI048,Tân Hợi,Tân,Hợi,Âm,Thoa Xuyến Kim,Kim trang sức
HG049,HGI049,Nhâm Tý,Nhâm,Tý,Dương,Tang Đố Mộc,Gỗ cây dâu
HG050,HGI050,Quý Sửu,Quý,Sửu,Âm,Tang Đố Mộc,Gỗ cây dâu
HG051,HGI051,Giáp Dần,Giáp,Dần,Dương,Đại Khê Thủy,Nước khe lớn
HG052,HGI052,Ất Mão,Ất,Mão,Âm,Đại Khê Thủy,Nước khe lớn
HG053,HGI053,Bính Thìn,Bính,Thìn,Dương,Sa Trung Thổ,Đất trong cát
HG054,HGI054,Đinh Tỵ,Đinh,Tỵ,Âm,Sa Trung Thổ,Đất trong cát
HG055,HGI055,Mậu Ngọ,Mậu,Ngọ,Dương,Thiên Thượng Hỏa,Lửa trên trời
HG056,HGI056,Kỷ Mùi,Kỷ,Mùi,Âm,Thiên Thượng Hỏa,Lửa trên trời
HG057,HGI057,Canh Thân,Canh,Thân,Dương,Thạch Lựu Mộc,Gỗ cây lựu đá
HG058,HGI058,Tân Dậu,Tân,Dậu,Âm,Thạch Lựu Mộc,Gỗ cây lựu đá
HG059,HGI059,Nhâm Tuất,Nhâm,Tuất,Dương,Đại Hải Thủy,Nước biển lớn
HG060,HGI060,Quý Hợi,Quý,Hợi,Âm,Đại Hải Thủy,Nước biển lớn
