nhat_chu,ngu_hanh_nhat_chu,nguyet_lenh,trang_thai,diem
Canh,Kim,Mùi,Dư khí,15
Canh,Kim,Thân,Đắc lệnh,45
Canh,Kim,Dậu,Đế vượng,45
Canh,Kim,Tuất,Thổ sinh Kim,30
Canh,Kim,Hợi,Tiết khí,10
Canh,Kim,Tý,Tiết khí,5
Canh,Kim,Sửu,Mộ,20
Tân,Kim,Dần,Tuyệt,-35
Tân,Kim,Mão,Thai,-20
Tân,Kim,Thìn,Thổ sinh Kim,20
Tân,Kim,Tỵ,Trường sinh,30
Tân,Kim,Ngọ,Bệnh,-10
Tân,Kim,Mùi,Dư khí,15
Tân,Kim,Thân,Đắc lệnh,45
Tân,Kim,Dậu,Đế vượng,45
Tân,Kim,Tuất,Thổ sinh Kim,30
Tân,Kim,Hợi,Tiết khí,10
Tân,Kim,Tý,Tiết khí,5
Tân,Kim,Sửu,Mộ,20
Nhâm,Thủy,Dần,Bệnh,-10
Nhâm,Thủy,Mão,Tử,-20
Nhâm,Thủy,Thìn,Mộ,-25
Nhâm,Thủy,Tỵ,Tuyệt,-35
Nhâm,Thủy,Ngọ,Thai,-20
Nhâm,Thủy,Mùi,Dư khí,-5
Nhâm,Thủy,Thân,Kim sinh Thủy,25
Nhâm,Thủy,Dậu,Kim sinh Thủy,30
Nhâm,Thủy,Tuất,Suy,5
Nhâm,Thủy,Hợi,Đắc lệnh,45
Nhâm,Thủy,Tý,Đế vượng,45
Nhâm,Thủy,Sửu,Dư khí,25
Quý,Thủy,Dần,Bệnh,-10
Quý,Thủy,Mão,Tử,-20
Quý,Thủy,Thìn,Mộ,-25
Quý,Thủy,Tỵ,Tuyệt,-35
Quý,Thủy,Ngọ,Thai,-20
Quý,Thủy,Mùi,Dư khí,-5
Quý,Thủy,Thân,Kim sinh Thủy,25
Quý,Thủy,Dậu,Kim sinh Thủy,30
Quý,Thủy,Tuất,Suy,5
Quý,Thủy,Hợi,Đắc lệnh,45
Quý,Thủy,Tý,Đế vượng,45
Quý,Thủy,Sửu,Dư khí,25
